row_date,value
01-01-18 23:56,2.25
01-01-18 23:57,2.2
01-01-18 23:58,2.13
01-01-18 23:59,2.09
02-01-18 0:00,2.05
02-01-18 0:01,2
02-01-18 0:02,1.96
02-01-18 0:03,1.93
